Dataset Name,Dataset Link
National Student Loan Data System,https://catalog.data.gov/dataset/national-student-loan-data-system-722b0
Public School Characteristics - Current,https://catalog.data.gov/dataset/public-school-characteristics-current-340b1
School Data,https://catalog.data.gov/dataset/school-data-8e1c5
Consumer Complaint Database,https://catalog.data.gov/dataset/consumer-complaint-database
College Scorecard,https://catalog.data.gov/dataset/college-scorecard-c25e9
Youth Tobacco Survey (YTS) Data,https://catalog.data.gov/dataset/youth-tobacco-survey-yts-data
"School Neighborhood Poverty Estimates, 2020-21",https://catalog.data.gov/dataset/school-neighborhood-poverty-estimates-2020-21
"School Attendance by Student Group and District, 2021-2022",https://catalog.data.gov/dataset/school-attendance-by-student-group-and-district-2021-2022
Student Absenteeism,https://catalog.data.gov/dataset/student-absenteeism-b0fcc
High School Electronic Smoking Device and Tobacco Use Prevalence,https://catalog.data.gov/dataset/high-school-electronic-smoking-device-and-tobacco-use-prevalence-d23f4
2020 - 2021 Diversity Report,https://catalog.data.gov/dataset/2020-2021-diversity-report
Graduation results for Cohorts 2012 to 2019 (Classes of 2016 to 2023),https://catalog.data.gov/dataset/graduation-results-for-cohorts-2012-to-2019-classes-of-2016-to-2023
Postsecondary Education Participants System,https://catalog.data.gov/dataset/postsecondary-education-participants-system-a9084
School Quality Reports Data,https://catalog.data.gov/dataset/school-quality-reports-data
"Composite Scores For Private, Non-Profit and Proprietary Institutions",https://catalog.data.gov/dataset/composite-scores-for-private-non-profit-and-proprietary-institutions-e4137
FAFSAÂ® Completion by High School and Public School District,https://catalog.data.gov/dataset/fafsa-completion-by-high-school-and-public-school-district-c40a3
Institutions on Heightened Cash Monitoring,https://catalog.data.gov/dataset/institutions-on-heightened-cash-monitoring
Federal Student Loan Portfolio,https://catalog.data.gov/dataset/federal-student-loan-portfolio-2e077
SAT (College Board) 2010 School Level Results,https://catalog.data.gov/dataset/sat-college-board-2010-school-level-results
My Brother's Keeper Key Statistical Indicators on Boys and Men of Color,https://catalog.data.gov/dataset/my-brothers-keeper-key-statistical-indicators-on-boys-and-men-of-color-83d9e
